科目编码,科目名称,期初借方,期初贷方,本期借方,本期贷方,期末借方,期末贷方
1001,库存现金,40000,0,20000,10000,50000,0
1002,银行存款,380000,0,700000,280000,800000,0
1122,应收账款,250000,0,180000,230000,200000,0
1403,原材料,120000,0,80000,50000,150000,0
1405,库存商品,280000,0,220000,200000,300000,0
1601,固定资产,1000000,0,0,0,1000000,0
1602,累计折旧,0,160000,0,40000,0,200000
2001,短期借款,0,300000,0,0,0,300000
2202,应付账款,0,150000,90000,120000,0,180000
2211,应付职工薪酬,0,45000,45000,50000,0,50000
2221,应交税费,0,25000,15000,20000,0,30000
3001,实收资本,0,1000000,0,0,0,1000000
3101,盈余公积,0,100000,0,0,0,100000
3104,利润分配,0,440000,0,0,0,440000
5001,主营业务收入,0,0,0,800000,0,800000
5401,主营业务成本,0,0,450000,0,450000,0
5601,销售费用,0,0,50000,0,50000,0
5602,管理费用,0,0,80000,0,80000,0
5603,财务费用,0,0,10000,0,10000,0
5801,所得税费用,0,0,10000,0,10000,0
